,index,product_title,product_update_time,product_avail,data_update_time
28,4,Blanton’s Single Barrel,2023-08-14 14:22:00.000000,0,2023-08-14 23:45:55.197301
29,5,Sazerac Rye,2023-08-14 14:22:00.000000,1,2023-08-14 23:45:55.197301
30,6,Wheatley,2023-08-14 14:22:00.000000,1,2023-08-14 23:45:55.197301
31,7,Bourbon Cream,2023-08-14 14:22:00.000000,1,2023-08-14 23:45:55.197301
32,0,Buffalo Trace,2023-08-14 14:22:00.000000,1,2023-08-15 11:42:57.879318
33,1,W.L. Weller Special Reserve,2023-08-14 14:22:00.000000,0,2023-08-15 11:42:57.879318
34,2,E.H. Taylor Jr. Small Batch,2023-08-14 14:22:00.000000,0,2023-08-15 11:42:57.879318
35,3,Eagle Rare,2023-08-14 14:22:00.000000,0,2023-08-15 11:42:57.879318
36,4,Blanton’s Single Barrel,2023-08-14 14:22:00.000000,0,2023-08-15 11:42:57.879318
37,5,Sazerac Rye,2023-08-14 14:22:00.000000,1,2023-08-15 11:42:57.879318
38,6,Wheatley,2023-08-14 14:22:00.000000,1,2023-08-15 11:42:57.879318
39,7,Bourbon Cream,2023-08-14 14:22:00.000000,1,2023-08-15 11:42:57.879318
40,0,Buffalo Trace,2023-08-14 14:22:00.000000,1,2023-08-15 11:52:51.466605
41,1,W.L. Weller Special Reserve,2023-08-14 14:22:00.000000,0,2023-08-15 11:52:51.466605
42,2,E.H. Taylor Jr. Small Batch,2023-08-14 14:22:00.000000,0,2023-08-15 11:52:51.466605
43,3,Eagle Rare,2023-08-14 14:22:00.000000,0,2023-08-15 11:52:51.466605
44,4,Blanton’s Single Barrel,2023-08-14 14:22:00.000000,0,2023-08-15 11:52:51.466605
45,5,Sazerac Rye,2023-08-14 14:22:00.000000,1,2023-08-15 11:52:51.466605
46,6,Wheatley,2023-08-14 14:22:00.000000,1,2023-08-15 11:52:51.466605
47,7,Bourbon Cream,2023-08-14 14:22:00.000000,1,2023-08-15 11:52:51.466605
48,0,Buffalo Trace,2023-08-14 14:22:00.000000,1,2023-08-15 12:13:28.869034
49,1,W.L. Weller Special Reserve,2023-08-14 14:22:00.000000,0,2023-08-15 12:13:28.869034
50,2,E.H. Taylor Jr. Small Batch,2023-08-14 14:22:00.000000,0,2023-08-15 12:13:28.869034
51,3,Eagle Rare,2023-08-14 14:22:00.000000,0,2023-08-15 12:13:28.869034
52,4,Blanton’s Single Barrel,2023-08-14 14:22:00.000000,0,2023-08-15 12:13:28.869034
53,5,Sazerac Rye,2023-08-14 14:22:00.000000,1,2023-08-15 12:13:28.869034
54,6,Wheatley,2023-08-14 14:22:00.000000,1,2023-08-15 12:13:28.869034
55,7,Bourbon Cream,2023-08-14 14:22:00.000000,1,2023-08-15 12:13:28.869034
56,0,Buffalo Trace,2023-08-15 08:13:00.000000,1,2023-08-15 12:16:27.738019
57,1,W.L. Weller Special Reserve,2023-08-15 08:13:00.000000,0,2023-08-15 12:16:27.738019
58,2,E.H. Taylor Jr. Small Batch,2023-08-15 08:13:00.000000,1,2023-08-15 12:16:27.738019
59,3,Eagle Rare,2023-08-15 08:13:00.000000,0,2023-08-15 12:16:27.738019
60,4,Blanton’s Single Barrel,2023-08-15 08:13:00.000000,0,2023-08-15 12:16:27.738019
61,5,Sazerac Rye,2023-08-15 08:13:00.000000,1,2023-08-15 12:16:27.738019
62,6,Wheatley,2023-08-15 08:13:00.000000,1,2023-08-15 12:16:27.738019
63,7,Bourbon Cream,2023-08-15 08:13:00.000000,1,2023-08-15 12:16:27.738019
64,0,Buffalo Trace,2023-08-15 08:13:00.000000,1,2023-08-15 12:17:32.033587
65,1,W.L. Weller Special Reserve,2023-08-15 08:13:00.000000,0,2023-08-15 12:17:32.033587
66,2,E.H. Taylor Jr. Small Batch,2023-08-15 08:13:00.000000,1,2023-08-15 12:17:32.033587
67,3,Eagle Rare,2023-08-15 08:13:00.000000,0,2023-08-15 12:17:32.033587
68,4,Blanton’s Single Barrel,2023-08-15 08:13:00.000000,0,2023-08-15 12:17:32.033587
69,5,Sazerac Rye,2023-08-15 08:13:00.000000,1,2023-08-15 12:17:32.033587
70,6,Wheatley,2023-08-15 08:13:00.000000,1,2023-08-15 12:17:32.033587
71,7,Bourbon Cream,2023-08-15 08:13:00.000000,1,2023-08-15 12:17:32.033587
72,0,Buffalo Trace,2023-08-15 08:13:00.000000,1,2023-08-15 12:44:41.017953
73,1,W.L. Weller Special Reserve,2023-08-15 08:13:00.000000,0,2023-08-15 12:44:41.017953
74,2,E.H. Taylor Jr. Small Batch,2023-08-15 08:13:00.000000,1,2023-08-15 12:44:41.017953
75,3,Eagle Rare,2023-08-15 08:13:00.000000,0,2023-08-15 12:44:41.017953
76,4,Blanton’s Single Barrel,2023-08-15 08:13:00.000000,0,2023-08-15 12:44:41.017953
77,5,Sazerac Rye,2023-08-15 08:13:00.000000,1,2023-08-15 12:44:41.017953
78,6,Wheatley,2023-08-15 08:13:00.000000,1,2023-08-15 12:44:41.017953
79,7,Bourbon Cream,2023-08-15 08:13:00.000000,1,2023-08-15 12:44:41.017953
80,0,Buffalo Trace,2023-08-15 08:13:00.000000,1,2023-08-15 13:16:05.123187
81,1,W.L. Weller Special Reserve,2023-08-15 08:13:00.000000,0,2023-08-15 13:16:05.123187
82,2,E.H. Taylor Jr. Small Batch,2023-08-15 08:13:00.000000,1,2023-08-15 13:16:05.123187
83,3,Eagle Rare,2023-08-15 08:13:00.000000,0,2023-08-15 13:16:05.123187
84,4,Blanton’s Single Barrel,2023-08-15 08:13:00.000000,0,2023-08-15 13:16:05.123187
85,5,Sazerac Rye,2023-08-15 08:13:00.000000,1,2023-08-15 13:16:05.123187
86,6,Wheatley,2023-08-15 08:13:00.000000,1,2023-08-15 13:16:05.123187
87,7,Bourbon Cream,2023-08-15 08:13:00.000000,1,2023-08-15 13:16:05.123187
88,0,Buffalo Trace,2023-08-15 08:13:00.000000,1,2023-08-15 13:19:46.209458
89,1,W.L. Weller Special Reserve,2023-08-15 08:13:00.000000,0,2023-08-15 13:19:46.209458
90,2,E.H. Taylor Jr. Small Batch,2023-08-15 08:13:00.000000,1,2023-08-15 13:19:46.209458
91,3,Eagle Rare,2023-08-15 08:13:00.000000,0,2023-08-15 13:19:46.209458
92,4,Blanton’s Single Barrel,2023-08-15 08:13:00.000000,0,2023-08-15 13:19:46.209458
93,5,Sazerac Rye,2023-08-15 08:13:00.000000,1,2023-08-15 13:19:46.209458
94,6,Wheatley,2023-08-15 08:13:00.000000,1,2023-08-15 13:19:46.209458
95,7,Bourbon Cream,2023-08-15 08:13:00.000000,1,2023-08-15 13:19:46.209458
96,0,Buffalo Trace,2023-08-15 08:13:00.000000,1,2023-08-15 13:32:58.561585
97,1,W.L. Weller Special Reserve,2023-08-15 08:13:00.000000,0,2023-08-15 13:32:58.561585
98,2,E.H. Taylor Jr. Small Batch,2023-08-15 08:13:00.000000,1,2023-08-15 13:32:58.561585
99,3,Eagle Rare,2023-08-15 08:13:00.000000,0,2023-08-15 13:32:58.561585
100,4,Blanton’s Single Barrel,2023-08-15 08:13:00.000000,0,2023-08-15 13:32:58.561585
101,5,Sazerac Rye,2023-08-15 08:13:00.000000,1,2023-08-15 13:32:58.561585
102,6,Wheatley,2023-08-15 08:13:00.000000,1,2023-08-15 13:32:58.561585
103,7,Bourbon Cream,2023-08-15 08:13:00.000000,1,2023-08-15 13:32:58.561585
104,0,Buffalo Trace,2023-08-15 08:13:00.000000,1,2023-08-15 13:49:18.695228
105,1,W.L. Weller Special Reserve,2023-08-15 08:13:00.000000,0,2023-08-15 13:49:18.695228
106,2,E.H. Taylor Jr. Small Batch,2023-08-15 08:13:00.000000,1,2023-08-15 13:49:18.695228
107,3,Eagle Rare,2023-08-15 08:13:00.000000,0,2023-08-15 13:49:18.695228
108,4,Blanton’s Single Barrel,2023-08-15 08:13:00.000000,0,2023-08-15 13:49:18.695228
109,5,Sazerac Rye,2023-08-15 08:13:00.000000,1,2023-08-15 13:49:18.695228
110,6,Wheatley,2023-08-15 08:13:00.000000,1,2023-08-15 13:49:18.695228
111,7,Bourbon Cream,2023-08-15 08:13:00.000000,1,2023-08-15 13:49:18.695228
112,0,Buffalo Trace,2023-08-15 08:13:00.000000,1,2023-08-15 14:16:16.411937
113,1,W.L. Weller Special Reserve,2023-08-15 08:13:00.000000,0,2023-08-15 14:16:16.411937
114,2,E.H. Taylor Jr. Small Batch,2023-08-15 08:13:00.000000,1,2023-08-15 14:16:16.411937
115,3,Eagle Rare,2023-08-15 08:13:00.000000,0,2023-08-15 14:16:16.411937
116,4,Blanton’s Single Barrel,2023-08-15 08:13:00.000000,0,2023-08-15 14:16:16.411937
117,5,Sazerac Rye,2023-08-15 08:13:00.000000,1,2023-08-15 14:16:16.411937
118,6,Wheatley,2023-08-15 08:13:00.000000,1,2023-08-15 14:16:16.411937
119,7,Bourbon Cream,2023-08-15 08:13:00.000000,1,2023-08-15 14:16:16.411937
120,0,Buffalo Trace,2023-08-15 08:13:00.000000,1,2023-08-15 14:29:06.895173
121,1,W.L. Weller Special Reserve,2023-08-15 08:13:00.000000,0,2023-08-15 14:29:06.895173
122,2,E.H. Taylor Jr. Small Batch,2023-08-15 08:13:00.000000,1,2023-08-15 14:29:06.895173
123,3,Eagle Rare,2023-08-15 08:13:00.000000,0,2023-08-15 14:29:06.895173
124,4,Blanton’s Single Barrel,2023-08-15 08:13:00.000000,0,2023-08-15 14:29:06.895173
125,5,Sazerac Rye,2023-08-15 08:13:00.000000,1,2023-08-15 14:29:06.895173
126,6,Wheatley,2023-08-15 08:13:00.000000,1,2023-08-15 14:29:06.895173
127,7,Bourbon Cream,2023-08-15 08:13:00.000000,1,2023-08-15 14:29:06.895173
128,0,Buffalo Trace,2023-08-15 08:13:00.000000,1,2023-08-15 14:49:09.064957
129,1,W.L. Weller Special Reserve,2023-08-15 08:13:00.000000,0,2023-08-15 14:49:09.064957
130,2,E.H. Taylor Jr. Small Batch,2023-08-15 08:13:00.000000,1,2023-08-15 14:49:09.064957
131,3,Eagle Rare,2023-08-15 08:13:00.000000,0,2023-08-15 14:49:09.064957
132,4,Blanton’s Single Barrel,2023-08-15 08:13:00.000000,0,2023-08-15 14:49:09.064957
133,5,Sazerac Rye,2023-08-15 08:13:00.000000,1,2023-08-15 14:49:09.064957
134,6,Wheatley,2023-08-15 08:13:00.000000,1,2023-08-15 14:49:09.064957
135,7,Bourbon Cream,2023-08-15 08:13:00.000000,1,2023-08-15 14:49:09.064957
136,0,Buffalo Trace,2023-08-15 08:13:00.000000,1,2023-08-15 15:16:24.793734
137,1,W.L. Weller Special Reserve,2023-08-15 08:13:00.000000,0,2023-08-15 15:16:24.793734
138,2,E.H. Taylor Jr. Small Batch,2023-08-15 08:13:00.000000,1,2023-08-15 15:16:24.793734
139,3,Eagle Rare,2023-08-15 08:13:00.000000,0,2023-08-15 15:16:24.793734
140,4,Blanton’s Single Barrel,2023-08-15 08:13:00.000000,0,2023-08-15 15:16:24.793734
141,5,Sazerac Rye,2023-08-15 08:13:00.000000,1,2023-08-15 15:16:24.793734
142,6,Wheatley,2023-08-15 08:13:00.000000,1,2023-08-15 15:16:24.793734
143,7,Bourbon Cream,2023-08-15 08:13:00.000000,1,2023-08-15 15:16:24.793734
144,0,Buffalo Trace,2023-08-15 08:13:00.000000,1,2023-08-15 15:29:22.197087
145,1,W.L. Weller Special Reserve,2023-08-15 08:13:00.000000,0,2023-08-15 15:29:22.197087
146,2,E.H. Taylor Jr. Small Batch,2023-08-15 08:13:00.000000,1,2023-08-15 15:29:22.197087
147,3,Eagle Rare,2023-08-15 08:13:00.000000,0,2023-08-15 15:29:22.197087
148,4,Blanton’s Single Barrel,2023-08-15 08:13:00.000000,0,2023-08-15 15:29:22.197087
149,5,Sazerac Rye,2023-08-15 08:13:00.000000,1,2023-08-15 15:29:22.197087
150,6,Wheatley,2023-08-15 08:13:00.000000,1,2023-08-15 15:29:22.197087
151,7,Bourbon Cream,2023-08-15 08:13:00.000000,1,2023-08-15 15:29:22.197087
152,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-15 15:48:50.331171
153,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-15 15:48:50.331171
154,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-15 15:48:50.331171
155,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-15 15:48:50.331171
156,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-15 15:48:50.331171
157,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-15 15:48:50.331171
158,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-15 15:48:50.331171
159,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-15 15:48:50.331171
160,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-15 16:22:12.188277
161,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-15 16:22:12.188277
162,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-15 16:22:12.188277
163,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-15 16:22:12.188277
164,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-15 16:22:12.188277
165,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-15 16:22:12.188277
166,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-15 16:22:12.188277
167,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-15 16:22:12.188277
168,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-15 16:48:48.088499
169,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-15 16:48:48.088499
170,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-15 16:48:48.088499
171,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-15 16:48:48.088499
172,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-15 16:48:48.088499
173,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-15 16:48:48.088499
174,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-15 16:48:48.088499
175,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-15 16:48:48.088499
176,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-15 17:15:31.126007
177,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-15 17:15:31.126007
178,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-15 17:15:31.126007
179,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-15 17:15:31.126007
180,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-15 17:15:31.126007
181,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-15 17:15:31.126007
182,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-15 17:15:31.126007
183,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-15 17:15:31.126007
184,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-15 17:29:09.341809
185,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-15 17:29:09.341809
186,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-15 17:29:09.341809
187,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-15 17:29:09.341809
188,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-15 17:29:09.341809
189,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-15 17:29:09.341809
190,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-15 17:29:09.341809
191,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-15 17:29:09.341809
192,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-15 17:48:52.563892
193,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-15 17:48:52.563892
194,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-15 17:48:52.563892
195,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-15 17:48:52.563892
196,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-15 17:48:52.563892
197,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-15 17:48:52.563892
198,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-15 17:48:52.563892
199,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-15 17:48:52.563892
200,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-15 22:24:03.331626
201,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-15 22:24:03.331626
202,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-15 22:24:03.331626
203,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-15 22:24:03.331626
204,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-15 22:24:03.331626
205,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-15 22:24:03.331626
206,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-15 22:24:03.331626
207,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-15 22:24:03.331626
208,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-15 22:39:37.358770
209,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-15 22:39:37.358770
210,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-15 22:39:37.358770
211,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-15 22:39:37.358770
212,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-15 22:39:37.358770
213,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-15 22:39:37.358770
214,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-15 22:39:37.358770
215,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-15 22:39:37.358770
216,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-16 01:27:25.926246
217,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-16 01:27:25.926246
218,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-16 01:27:25.926246
219,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-16 01:27:25.926246
220,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-16 01:27:25.926246
221,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-16 01:27:25.926246
222,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-16 01:27:25.926246
223,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-16 01:27:25.926246
224,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-16 01:48:04.912832
225,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-16 01:48:04.912832
226,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-16 01:48:04.912832
227,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-16 01:48:04.912832
228,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-16 01:48:04.912832
229,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-16 01:48:04.912832
230,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-16 01:48:04.912832
231,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-16 01:48:04.912832
232,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-16 01:50:45.167266
233,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-16 01:50:45.167266
234,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-16 01:50:45.167266
235,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-16 01:50:45.167266
236,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-16 01:50:45.167266
237,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-16 01:50:45.167266
238,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-16 01:50:45.167266
239,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-16 01:50:45.167266
240,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-16 06:12:32.843400
241,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-16 06:12:32.843400
242,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-16 06:12:32.843400
243,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-16 06:12:32.843400
244,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-16 06:12:32.843400
245,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-16 06:12:32.843400
246,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-16 06:12:32.843400
247,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-16 06:12:32.843400
248,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-16 06:29:03.431746
249,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-16 06:29:03.431746
250,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-16 06:29:03.431746
251,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-16 06:29:03.431746
252,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-16 06:29:03.431746
253,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-16 06:29:03.431746
254,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-16 06:29:03.431746
255,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-16 06:29:03.431746
256,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-16 06:44:15.371688
257,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-16 06:44:15.371688
258,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-16 06:44:15.371688
259,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-16 06:44:15.371688
260,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-16 06:44:15.371688
261,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-16 06:44:15.371688
262,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-16 06:44:15.371688
263,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-16 06:44:15.371688
264,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-16 07:09:14.132706
265,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-16 07:09:14.132706
266,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-16 07:09:14.132706
267,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-16 07:09:14.132706
268,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-16 07:09:14.132706
269,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-16 07:09:14.132706
270,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-16 07:09:14.132706
271,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-16 07:09:14.132706
272,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-16 07:24:07.925114
273,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-16 07:24:07.925114
274,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-16 07:24:07.925114
275,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-16 07:24:07.925114
276,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-16 07:24:07.925114
277,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-16 07:24:07.925114
278,6,Wheatley,2023-08-15 11:40:00.000000,1,2023-08-16 07:24:07.925114
279,7,Bourbon Cream,2023-08-15 11:40:00.000000,1,2023-08-16 07:24:07.925114
280,0,Buffalo Trace,2023-08-15 11:40:00.000000,1,2023-08-16 07:44:07.421999
281,1,W.L. Weller Special Reserve,2023-08-15 11:40:00.000000,0,2023-08-16 07:44:07.421999
282,2,E.H. Taylor Jr. Small Batch,2023-08-15 11:40:00.000000,0,2023-08-16 07:44:07.421999
283,3,Eagle Rare,2023-08-15 11:40:00.000000,0,2023-08-16 07:44:07.421999
284,4,Blanton’s Single Barrel,2023-08-15 11:40:00.000000,0,2023-08-16 07:44:07.421999
285,5,Sazerac Rye,2023-08-15 11:40:00.000000,1,2023-08-16 07:44:07.421999
